logicalName,suggestedDomain,suggestedCategory,matchedBy
ccp_account_ccp_activityofassociation,CCSP ORGANISATIES,Custom,kw:account
ccp_account_ccp_interest,CCSP ORGANISATIES,Custom,kw:account
ccp_account_ccp_openinghours,CCSP ORGANISATIES,Custom,kw:account
ccp_account_ccp_organisationactivity,CCSP ORGANISATIES,Custom,kw:account
ccp_account_ccp_targetaudience,CCSP ORGANISATIES,Custom,kw:account
ccp_account_ccsp_address,CCSP ORGANISATIES,Custom,kw:account
ccp_accountrelation,CCSP ORGANISATIES,Custom,kw:account
ccp_acmidmuserright,GENERAL,Custom,fallback
ccp_activityofassociation,GENERAL,Custom,fallback
ccp_advice,GENERAL,Custom,fallback
ccp_adviceclimate,GENERAL,Custom,fallback
ccp_adviceclimatebpf,GENERAL,Custom,fallback
ccp_adviceconfiguration,GENERAL,Custom,fallback
ccp_advisor,GENERAL,Custom,fallback
ccp_adx_blogpost_product,PRODUCTENCATALOGUS P30,Custom,kw:product
ccp_adx_idea_adx_tag,GENERAL,Custom,fallback
ccp_adx_idea_product,PRODUCTENCATALOGUS P30,Custom,kw:product
ccp_adx_webpage_product,PRODUCTENCATALOGUS P30,Custom,kw:product
ccp_agendaitem,VERGADERBEHEER,Custom,kw:agenda
ccp_agendaitemtype,VERGADERBEHEER,Custom,kw:agenda
ccp_allotment,GENERAL,Custom,fallback
ccp_attendee,GENERAL,Custom,fallback
ccp_attribute,GENERAL,Custom,fallback
ccp_authorisedgovernment,GENERAL,Custom,fallback
ccp_autofill,GENERAL,Custom,fallback
ccp_autonumbering,GENERAL,Custom,fallback
ccp_autonumberingfilter,GENERAL,Custom,fallback
ccp_bankaccount,CCSP ORGANISATIES,Custom,kw:account
ccp_blogcategory,GENERAL,Custom,fallback
ccp_bpflening,GENERAL,Custom,fallback
ccp_bpimporthistory,GENERAL,Custom,fallback
ccp_bpstepaction,GENERAL,Custom,fallback
ccp_bptypesecurity,GENERAL,Custom,fallback
ccp_bpusergroupuserauthentication,GENERAL,Custom,fallback
ccp_businessprocess,PROCESMANAGER,Custom,kw:process
ccp_businessprocessattribute,PROCESMANAGER,Custom,kw:process
ccp_businessprocessattributeparameter,PROCESMANAGER,Custom,kw:process
